Year,Company,sentiment_score_positive,sentiment_score_negative,sentiment_score_polarity,sentiment_score_subjectivity,similarity_score,nlp_result
2014,MCD,188.0,153.0,0.10263929588668828,0.0509944668684022,0.9927767425936903,0
2014,MMM,214.0,168.0,0.12041884785230668,0.045825335887017114,0.9926159345835464,0
2014,MRK,391.0,688.0,-0.2752548653612095,0.07020169160245922,0.9940912753754108,0
2014,MSFT,91.0,173.0,-0.3106060594295225,0.04482173174111685,0.9903756432174798,0
2014,NKE,152.0,263.0,-0.26746987887356655,0.04348281642461412,0.993611221907316,0
2014,NVDA,82.0,160.0,-0.3223140482549006,0.05654205606155559,0.9879977542929075,0
2014,PG,231.0,315.0,-0.15384615356438433,0.05879819081856578,0.9929360172869499,0
2014,SHW,1.0,0.0,0.9999990000010001,0.037037035665294975,0.9676044049321669,0
2014,TRV,359.0,1730.0,-0.6562948776178579,0.09983273595699724,0.9711966214275485,0
2014,UNH,165.0,187.0,-0.062499999822443184,0.058500914067059845,0.9933593835372064,0
2014,V,108.0,192.0,-0.27999999906666667,0.04948045521202697,0.9889202476330022,0
2014,VZ,1.0,0.0,0.9999990000010001,0.032258063475546335,0.9637389605272868,0
2014,WMT,3.0,0.0,0.9999996666667778,0.07894736634349037,1.0,0
2015,AAPL,94.0,165.0,-0.27413127307285223,0.059159433517779934,0.8497189236580269,0
2015,AMGN,146.0,145.0,0.0034364261050294637,0.05354185831581566,0.9951825143917068,0
2015,AMZN,111.0,132.0,-0.08641975273078291,0.05134164376688323,0.9922333068309377,0
2015,AXP,338.0,519.0,-0.21120186673138638,0.05855024936403974,0.31696313210664556,0
2015,BA,157.0,314.0,-0.33333333262561926,0.06951003540886805,0.9929134312359397,0
2015,CAT,440.0,655.0,-0.19634703178415794,0.09002713145687519,0.38814184005351315,0
2015,CRM,224.0,261.0,-0.07628865963651822,0.05978059903121156,0.9967176572969726,0
2015,CSCO,119.0,344.0,-0.48596112206055914,0.05161074573050822,0.9917755185761823,0
2015,CVX,0.0,0.0,0.0,0.0,1.0000000000000004,0
2015,DIS,138.0,220.0,-0.22905027868980368,0.049881566107025,0.9933831588778893,0
2015,GS,391.0,862.0,-0.3758978448715899,0.05575083425780864,0.996739998501581,0
2015,HD,83.0,145.0,-0.27192982336872884,0.06200707096491513,0.9817909758841765,0
2015,HON,102.0,169.0,-0.2472324714124263,0.059560439547349346,0.9980872541641268,0
2015,IBM,0.0,0.0,0.0,0.0,0.8650913586232457,0
2015,JNJ,121.0,268.0,-0.37789202987688425,0.06512640213207326,0.4341955413302683,0
2015,JPM,1.0,0.0,0.9999990000010001,0.031249999023437534,0.9407165707304572,0
2015,KO,409.0,450.0,-0.047729918454330715,0.06147130384560818,0.9972829703991806,0
2015,MCD,236.0,134.0,0.2756756749306063,0.05374782102647475,0.986497362530956,0
2015,MMM,227.0,209.0,0.04128440357503577,0.050568313610465286,0.9801722026260257,0
2015,MRK,400.0,707.0,-0.27732610634387883,0.07249508840389685,0.9953542467717247,0
2015,MSFT,100.0,227.0,-0.38837920370526235,0.0543821719517076,0.9793318354537627,0
2015,NKE,143.0,254.0,-0.2795969766257003,0.041131371732166244,0.9928519149459564,0
2015,NVDA,90.0,169.0,-0.3050193038416243,0.05838593326005727,0.9838417159960116,0
2015,PG,222.0,311.0,-0.16697936178803122,0.059995497516884794,0.9876270180374424,0
2015,SHW,1.0,0.0,0.9999990000010001,0.037037035665294975,0.951792162125523,0
2015,TRV,357.0,1710.0,-0.6545718429344113,0.09972018525184677,0.9972701887379632,0
2015,UNH,128.0,144.0,-0.05882352919550173,0.058544984920674774,0.9827507610721402,0
2015,V,119.0,194.0,-0.23961661265298206,0.0534677143741941,0.9719984143966386,0
2015,VZ,1.0,0.0,0.9999990000010001,0.032258063475546335,0.9637389605272868,0
2015,WMT,3.0,0.0,0.9999996666667778,0.07894736634349037,1.0,0
2016,AAPL,89.0,174.0,-0.3231939151209357,0.05804458175721814,0.9930707782133932,0
2016,AMGN,127.0,131.0,-0.015503875908899706,0.05333884638136472,0.9910246911629707,0
2016,AMZN,109.0,103.0,0.028301886658953366,0.05199901887368187,0.9860316055918608,0
2016,AXP,314.0,465.0,-0.19383825392318582,0.058470314489343964,0.9948522404619833,0
2016,BA,157.0,306.0,-0.32181425416454806,0.06726717999894419,0.9918737895136721,0
2016,CAT,408.0,745.0,-0.2922810058176227,0.09262532132931994,0.9981680998627713,0
2016,CRM,141.0,228.0,-0.23577235708462776,0.056249999991425305,0.9823507463052227,0
2016,CSCO,103.0,357.0,-0.5521739118431002,0.05402865867347561,0.9940370338309004,0
2016,CVX,0.0,0.0,0.0,0.0,1.0000000000000004,0
2016,DIS,125.0,229.0,-0.29378530990456125,0.05287528005184835,0.9964060095185369,0
2016,GS,404.0,861.0,-0.3612648218488025,0.056244720107765565,0.9979197528965792,0
2016,HD,75.0,67.0,0.05633802777226741,0.04528061223045899,0.9806106114704839,0
2016,HON,122.0,191.0,-0.2204472836407435,0.05884564766707169,0.9955679496923575,0
2016,IBM,0.0,0.0,0.0,0.0,0.8650913586232457,0
2016,JNJ,113.0,263.0,-0.3989361691517655,0.06419668771313015,0.9957581670899396,0
2016,JPM,1.0,0.0,0.9999990000010001,0.031249999023437534,0.9472898022319594,0
2016,KO,392.0,460.0,-0.07981220647909365,0.05956792280923107,0.997573614687512,0
2016,MCD,227.0,106.0,0.3633633622721821,0.052540233503859224,0.9922667961940509,0
2016,MMM,238.0,281.0,-0.0828516376052955,0.05550208533253106,0.9065987605841518,0
2016,MRK,362.0,593.0,-0.24188481650064417,0.07291189494022661,0.9939310795963413,0
2016,MSFT,95.0,209.0,-0.37499999876644735,0.05306336183399138,0.9819389271401637,0
2016,NKE,145.0,237.0,-0.24083769570461336,0.041904344005934145,0.993770692347834,0
2016,NVDA,86.0,132.0,-0.21100917334399463,0.05548485618338385,0.9882207010867432,0
2016,PG,261.0,318.0,-0.09844559568489535,0.06000621825474078,0.9908557921253732,0
2016,SHW,1.0,0.0,0.9999990000010001,0.037037035665294975,0.9676044049321669,0
2016,TRV,323.0,1699.0,-0.6805143418988554,0.10635947608719376,0.9953453638335732,0
2016,UNH,105.0,123.0,-0.07894736807479225,0.05654761903359434,0.9933926203531778,0
2016,V,122.0,182.0,-0.19736842040339336,0.052019164946608625,0.9915792908709009,0
2016,VZ,1.0,0.0,0.9999990000010001,0.033333332222222255,0.936914922958063,0
2016,WMT,3.0,0.0,0.9999996666667778,0.07894736634349037,0.992488068074817,0
2017,AAPL,88.0,145.0,-0.24463519208311077,0.0528824330338442,0.9910735837953567,0
2017,AMGN,121.0,145.0,-0.09022556357058059,0.050321604228088984,0.9843784600842663,0
2017,AMZN,108.0,109.0,-0.004608294909639194,0.05066542142174517,0.9669804284194851,0
2017,AXP,354.0,469.0,-0.13973268512790682,0.0597936646280301,0.995035191901203,0
2017,BA,145.0,267.0,-0.29611650413563956,0.06674226469030581,0.9893015131160641,0
2017,CAT,434.0,578.0,-0.14229248997797184,0.08075327161819715,0.9976433350213588,0
2017,CRM,161.0,204.0,-0.11780821885531995,0.05397013159042287,0.9929733100621996,0
2017,CSCO,118.0,342.0,-0.4869565206805293,0.058823529404242514,0.9911993753683905,0
2017,CVX,0.0,0.0,0.0,0.0,0.9785232396175957,0
2017,DIS,131.0,226.0,-0.2661064418316346,0.0494596841161735,0.9956403837186535,0
2017,GS,411.0,820.0,-0.3322502028170185,0.05591896065885714,0.997491077704456,0
2017,HD,61.0,45.0,0.1509433948024208,0.04753363226567999,0.9358281367451889,0
2017,HON,143.0,181.0,-0.11728395025529645,0.06329361202123586,0.9958184153396462,0
2017,IBM,0.0,0.0,0.0,0.0,0.9080185510304297,0
2017,JNJ,114.0,206.0,-0.2874999991015625,0.05969035626567984,0.9928680768586495,0
2017,JPM,1.0,0.0,0.9999990000010001,0.031249999023437534,0.9472898022319594,0
2017,KO,389.0,465.0,-0.08899297413466865,0.059661869494225105,0.9973329959972342,0
2017,MCD,219.0,94.0,0.39936102108830346,0.048235475412508014,0.9882513338083805,0
2017,MMM,246.0,277.0,-0.05927342244880799,0.05353669771178864,0.9865192216610195,0
2017,MRK,327.0,513.0,-0.22142857116496598,0.06798316606766079,0.9823654714403623,0
2017,MSFT,95.0,160.0,-0.2549019597846982,0.04720473897682252,0.9647475836986162,0
2017,NKE,128.0,220.0,-0.2643678153322764,0.04391721352297864,0.9896418263018614,0
2017,NVDA,75.0,111.0,-0.19354838605619148,0.050338294979610745,0.9841167154270611,0
2017,PG,271.0,292.0,-0.037300177553640894,0.05572050672449322,0.9787200809113005,0
2017,SHW,1.0,0.0,0.9999990000010001,0.037037035665294975,0.951792162125523,0
2017,TRV,315.0,1750.0,-0.6949152539007675,0.10628442019114291,0.9969714658255259,0
2017,UNH,102.0,106.0,-0.01923076913831361,0.05591397847959302,0.9958877449093063,0
2017,V,127.0,214.0,-0.2551319640611966,0.055528415558454905,0.9908213139913353,0
2017,VZ,1.0,0.0,0.9999990000010001,0.033333332222222255,0.8719105016170159,0
2017,WMT,135.0,139.0,-0.014598540092706058,0.049095144230586786,0.4564578652560103,0
2018,AAPL,44.0,79.0,-0.28455284321501756,0.046892870740795706,0.9752361799761059,0
2018,AMGN,105.0,130.0,-0.10638297827071073,0.046840741469635086,0.9925313936681741,0
2018,AMZN,105.0,104.0,0.004784688972322063,0.052804446676906404,0.9913672218473807,0
2018,AXP,293.0,434.0,-0.1939477301321214,0.0590289054840022,0.9983034054893863,0
2018,BA,147.0,294.0,-0.33333333257747544,0.0664256665060362,0.9632559415524977,0
2018,CAT,444.0,449.0,-0.005599104137067073,0.07912457911756826,0.9942056796511527,0
2018,CRM,170.0,123.0,0.1604095557665203,0.04925197511359018,0.984062588187948,0
2018,CSCO,90.0,275.0,-0.5068493136798649,0.06132392472087971,0.9880700107338998,0
2018,CVX,0.0,0.0,0.0,0.0,0.9785232396175957,0
2018,DIS,142.0,268.0,-0.3073170724211779,0.05115408608220161,0.9749070820345296,0
2018,GS,399.0,875.0,-0.3736263733331033,0.05703030574076591,0.9966696601128393,0
2018,HD,65.0,55.0,0.0833333326388889,0.050020841996656594,0.9820586662449131,0
2018,HON,136.0,151.0,-0.052264808180261996,0.05869120653196498,0.9983838842406143,0
2018,IBM,0.0,0.0,0.0,0.0,0.8650913586232457,0
2018,JNJ,136.0,221.0,-0.23809523742830466,0.06418554475652903,0.9941988410863618,0
2018,JPM,1.0,0.0,0.9999990000010001,0.031249999023437534,0.9434359747449962,0
2018,KO,366.0,464.0,-0.11807228901437074,0.05994078139236363,0.9970301941633086,0
2018,MCD,213.0,91.0,0.4013157881535665,0.04864778363759837,0.9945108871023078,0
2018,MMM,238.0,292.0,-0.10188679226059096,0.0504185692493894,0.9958159484551804,0
2018,MRK,334.0,466.0,-0.16499999979375,0.06545038042498155,0.9713510257568878,0
2018,MSFT,92.0,119.0,-0.1279620847016015,0.04109855862074434,0.9974614840390547,0
2018,NKE,108.0,162.0,-0.19999999925925926,0.0417181705745182,0.9278629567448653,0
2018,NVDA,70.0,113.0,-0.23497267631162472,0.05049668872778789,0.9873864048768463,0
2018,PG,228.0,264.0,-0.07317073155859607,0.05502740185046109,0.97799744929485,0
2018,SHW,1.0,0.0,0.9999990000010001,0.037037035665294975,0.9676044049321669,0
2018,TRV,298.0,1638.0,-0.6921487599730636,0.09886630578598374,0.7300717928993066,0
2018,UNH,92.0,102.0,-0.051546391486874274,0.05297651555079833,0.9974700377842695,0
2018,V,94.0,175.0,-0.30111524051630023,0.05339420403862759,0.9690643054128896,0
2018,VZ,1.0,0.0,0.9999990000010001,0.033333332222222255,0.9612492535896063,0
2018,WMT,115.0,144.0,-0.1119691115367988,0.05034992222971424,0.9869023499743163,0
2019,AAPL,41.0,89.0,-0.3692307663905326,0.05256773147894552,0.8278261928349261,0
2019,AMGN,89.0,135.0,-0.2053571419403699,0.04610002057087877,0.9880486486349936,0
2019,AMZN,99.0,93.0,0.031249999837239584,0.05061956233835498,0.9753920251684282,0
2019,AXP,285.0,435.0,-0.2083333330439815,0.06294806783852526,0.763336843920944,0
2019,BA,151.0,371.0,-0.42145593788993113,0.07371840134532998,0.9903193965488011,0
2019,CAT,397.0,407.0,-0.012437810929803717,0.07556390976733422,0.9977698487639036,0
2019,CRM,135.0,120.0,0.0588235291810842,0.05584756897594227,0.9724166421589717,0
2019,CSCO,73.0,240.0,-0.5335463241739734,0.05909005096109306,0.9897255722616081,0
2019,CVX,0.0,0.0,0.0,0.0,1.0000000000000004,0
2019,DIS,130.0,349.0,-0.45720250426471293,0.062006472483882656,0.8244848712365772,0
2019,GS,425.0,796.0,-0.303849303600451,0.05696556871993256,0.9752905681961777,0
2019,HD,43.0,66.0,-0.21100917237606265,0.048272807773129846,0.9337649256011887,0
